class,id,high,weight,shangbiweisongjincha,xiongwei,huxicha,jiaowei,tunwei,jiankuan,gupenkuan,tizhong,tizhilv,jibenxinlv,xingongzhishu,maiyacha,feihuoliang,zuidasheyangliang,pingjunwoli,beijili,1minyangwoqizuo,lidingtiaoyuan,fuwocheng,xanzefanyingshi,50m,shizibianxiangpao,wangfanpao,fanfuhengkua,congcha,hengcha,zuoweitiqianqu,zhuanjian,litizhuanti,bimudanzu,1minpaowangqiu
3,101,0.010438413,0.010484928,0.060606061,0.011379801,0.142857143,-0.001795332,0.00390625,0.013157895,0.017777778,0.010075567,0,-0.013513514,-0.056451613,0,0.142857143,0.042922841,0.095767102,0.060721063,0.05,0.071005917,0.1,-0.057692308,-0.032608696,-0.058441558,-0.051470588,0.147058824,-0.050847458,-0.039473684,0.079365079,0.012965964,-0.014134276,0.375,0.145299145
3,102,0.009627728,0.009720535,0.066666667,0.009650181,0.09375,0.004580153,0.003562945,0.011627907,0.01532567,0.003952569,0,-0.015151515,-0.070707071,0,0.143011333,0.041584158,0.074950982,0.050473186,0,0.070588235,0.076923077,-0.058823529,-0.031914894,-0.055555556,-0.05,0.138888889,-0.056962025,-0.041860465,0.06097561,0.013913043,-0.01320132,0.3,0.125
3,103,0.010046885,0.010062893,0.095238095,0.01183432,0.169811321,0.005190311,0.00373599,0.011940299,0.016528926,0.008830022,0,-0.013888889,-0.059322034,0,0.164086687,0.039529412,0.108262987,0.055555556,0.037037037,0.072289157,0.222222222,-0.056603774,-0.03125,-0.0625,-0.049295775,0.151515152,-0.077586207,-0.048648649,0.036764706,0.01179941,-0.014705882,0.428571429,0.134920635
3,104,0.008888889,0.006802721,0.210526316,0.010139417,0.118644068,0.001477105,0.003512881,0.011142061,0.014545455,0,0,-0.014705882,-0.071428571,0,0.123543124,0.075114972,0.092496751,0.051948052,0.038461538,0.068965517,0.428571429,-0.052631579,-0.032258065,-0.056603774,-0.050359712,0.142857143,-0.037815126,-0.033088235,-0.25,0.013333333,-0.014285714,0.324324324,0.118055556
3,105,0.009689922,0.00973236,0.08,0.010269576,0.098591549,0.004518072,0.00120919,0.011527378,0.014035088,0.008298755,0,-0.016949153,-0.086419753,0,0.129584352,0.031448896,0.119572531,0.054982818,0.041666667,0.074074074,0.5,-0.053571429,-0.022222222,-0.057324841,-0.030534351,0.2,-0.060240964,-0.031578947,-0.151515152,0.010723861,-0.013513514,0.285714286,0.121428571
3,106,0.010107817,0.009950249,0.095238095,0.011034483,0.127272727,0.004716981,0.003690037,0.012084592,0.008888889,0.025821596,0,-0.015625,-0.074468085,-0.090909091,0.144414169,0.031951312,0.093155119,0.061619718,0.047619048,0.075471698,0.222222222,-0.057692308,-0.031578947,-0.053892216,-0.048951049,0.135135135,-0.046875,-0.03515625,0.108695652,0.011510791,-0.003816794,0.266666667,0.124087591
3,107,0.009960159,0.009840098,0.111111111,0.010709505,0.132075472,0.004559271,0.003640777,0.011976048,0.016326531,0.00862069,0,-0.015384615,-0.072164948,0,0.135549872,0.033280507,0.07323975,0.058608059,0.03125,0.072727273,0.076923077,-0.056603774,-0.031914894,-0.054878049,-0.05,0.161290323,-0.051724138,-0.042654028,0.064102564,0.011695906,-0.013513514,0.482758621,0.108974359
3,108,0.009225092,0.008978676,0.064516129,0.010403121,0.102941176,0.004385965,0.003759398,0.011331445,0.024475524,-0.007042254,-0.043478261,-0.014492754,-0.066037736,0,0.106941082,0.036633232,0.070145085,0.050147493,0.032258065,0.070588235,0.083333333,-0.054545455,-0.031578947,-0.053571429,-0.04964539,0.131578947,-0.04,-0.036437247,-0.3125,0.010854817,-0.014336918,0.571428571,0.142857143
3,109,0.012024048,0.012626263,0.217391304,0.011331445,0.134615385,0.00487013,0.003831418,0.012048193,0.016949153,0.009324009,0,-0.027777778,-0.060869565,0.076923077,0.129584352,0.035338662,0.080000355,0.053872054,0.034482759,0.071856287,0.222222222,-0.055555556,-0.032258065,-0.058823529,-0.050359712,0.125,-0.034220532,-0.027607362,-0.102040816,0.010484928,-0.014035088,0.342857143,0.121428571
3,110,0.009759271,0.00996264,0.083333333,0.010989011,0.116666667,0.00466563,0.003592814,0.011494253,0.015810277,0.008385744,0,-0.015151515,-0.068627451,0,0.123543124,0.032735776,0.109885334,0.055652174,0.08,0.072289157,0.428571429,-0.054545455,-0.030612245,-0.048913043,-0.047945205,0.142857143,-0.056962025,-0.045685279,0.073529412,0.012698413,-0.013745704,0.387096774,0.124087591
